words	points
libusal	804
libusb	805
libusbmuxd	806
libusbx	807
libuser	808
libutempter	809
libuuid	810
libv4l	811
libva	812
libverto	813
libvirt	814
libvisio	815
libvisual	816
libvorbis	817
libvpx	818
libwacom	819
libwayland	820
libwbclient	821
libwebp	822
libwinpr	823
libwnck3	824
libwpd	825
libwpg	826
libwps	827
libwvstreams	828
libx11	829
libxatracker	830
libxau	831
libxcb	832
libxcomposite	833
libxcursor	834
libxdamage	835
libxdmcp	836
libxevie	837
libxext	838
libxfixes	839
libxfont	840
libxfont2	841
libxft	842
libxi	843
libxinerama	844
libxkbcommon	845
libxkbfile	846
libxklavier	847
libxml2	848
libxmu	849
libxpm	850
libxrandr	851
libxrender	852
libxres	853
libxshmfence	854
libxslt	855
libxt	856
libxtst	857
libxv	858
libxvmc	859
libxxf86dga	860
libxxf86misc	861
libxxf86vm	862
libyami	863
libyaml	864
libzapojit	865
libzmf	866
license	867
linux	868
list	869
lite	870
lklug	871
lksctp	872
lldpad	873
llvm	874
lm	875
loader	876
local	877
location	878
lockdev	879
log	880
logger	881
logical	882
logos	883
logrotate	884
lohit	885
long	886
loop	887
lpsolve	888
lrzsz	889
lsb	890
lshw	891
lsof	892
lsscsi	893
ltdl	894
lua	895
lvm2	896
lxc	897
lxml	898
lz4	899
lzo	900
lzop	901
m17n	902
m4	903
macros	904
madan	905
mail	906
mailx	907
make	908
malayalam	909
man	910
manager	911
mantisbt	912
mapper	913
mappings	914
marathi	915
mariadb	916
marisa	917
markupsafe	918
match	919
math	920
md5	921
mdadm	922
mdraid	923
meanwhile	924
meera	925
meh	926
memory	927
menu	928
menus	929
mesa	930
metacity	931
metadata	932
mgmt	933
microcode	934
microhei	935
mime	936
miners	937
minimal	938
misc	939
miscfixed	940
mission	941
mkhomedir	942
mlocate	943
mobile	944
mod	945
mode	946
modemmanager	947
modeswitch	948
module	949
modules	950
mokutil	951
monitor	952
mono	953
mousetweaks	954
mozilla	955
mozjs	956
mozjs17	957
mozjs24	958
mozjs52	959
mpath	960
mpfr	961
mpg123	962
mtdev	963
mtools	964
mtp	965
mtr	966
multipath	967
murmur	968
mutter	969
mythes	970
name	971
nano	972
nanum	973
naskh	974
nautilus	975
ncat	976
ncompress	977
ncurses	978
ndctl	979
neon	980
nepali	981
net	982
netaddr	983
netcf	984
netifaces	985
netmask	986
nettle	987
network	988
networking	989
networkmanager	990
new	991
newt	992
nfs	993
nfs4	994
ng	995
nginx	996
nhn	997
nic	998
nimbus	999
nls	1000
nm	1001
nmap	1002
noarch	1003
node	1004
nodedev	1005
nodeone	1006
nose	1007
not	1008
notification	1009
noto	1010
nouveau	1011
nspr	1012
nss	1013
ntlm	1014
ntlm3	1015
ntp	1016
ntpdate	1017
ntplib	1018
ntsysv	1019
null	1020
numactl	1021
numad	1022
nuosu	1023
nvdimm	1024
nwfilter	1025
oddjob	1026
on	1027
online	1028
open	1029
opencc	1030
openjdk	1031
openjpeg	1032
openjpeg2	1033
openldap	1034
openssh	1035
openssl	1036
opensymbol	1037
opus	1038
orc	1039
orca	1040
organization	1041
oriya	1042
os	1043
osinfo	1044
overpass	1045
overrides	1046
ovmf	1047
p052	1048
p11	1049
p2	1050
pac	1051
packagekit	1052
packages	1053
padauk	1054
pages	1055
pakchois	1056
paktype	1057
pam	1058
pango	1059
pango12	1060
pangomm	1061
paps	1062
parameters	1063
paranoia	1064
paratype	1065
parent	1066
parser	1067
parsewords	1068
part	1069
parted	1070
passwd	1071
password	1072
patch	1073
path	1074
pathtools	1075
pc	1076
pciutils	1077
pcre	1078
pcre2	1079
pcsc	1080
pdf	1081
pdfimport	1082
pem	1083
perf	1084
perl	1085
perldoc	1086
persistent	1087
pexpect	1088
pinentry	1089
pinfo	1090
pip	1091
pixbuf2	1092
pixman	1093
pk	1094
pkgconfig	1095
pkla	1096
pl	1097
places	1098
plain	1099
plugin	1100
plugins	1101
ply	1102
plymouth	1103
pm	1104
pnm2ppa	1105
pod	1106
podlators	1107
policy	1108
policycoreutils	1109
polkit	1110
poppler	1111
popt	1112
portal	1113
portalocker	1114
postfix	1115
ppp	1116
pre4	1117
printer	1118
private	1119
prober	1120
process	1121
processing	1122
processor	1123
procfs	1124
procps	1125
profile	1126
progs	1127
protected	1128
proto	1129
protocol	1130
provider	1131
proxy	1132
ps	1133
psacct	1134
psmisc	1135
pstoreoops	1136
psutil	1137
pt	1138
pth	1139
ptyprocess	1140
pubkey	1141
pull	1142
pulseaudio	1143
punjabi	1144
push	1145
pwquality	1146
pyasn1	1147
pyatspi	1148
pyblock	1149
pycairo	1150
pycparser	1151
pycrypto	1152
pycurl	1153
pygobject2	1154
pygpgme	1155
pygtk2	1156
pyhamcrest	1157
pykerberos	1158
pykickstart	1159
pyliblzma	1160
pyopenssl	1161
pypacker	1162
pyparsing	1163
pyparted	1164
pysocks	1165
pytalloc	1166
python	1167
python2	1168
pytz	1169
pyudev	1170
pyuno	1171
pyusb	1172
pyxattr	1173
pyyaml	1174
pyzmq	1175
qa	1176
qemu	1177
qgnomeplatform	1178
qpdf	1179
qrcode	1180
qrencode	1181
qt5	1182
qtbase	1183
quota	1184
qxl	1185
radvd	1186
random	1187
raptor2	1188
rasqal	1189
rawcode	1190
rbd	1191
rc1	1192
rc16	1193
rc4	1194
rdate	1195
rdma	1196
readline	1197
realmd	1198
redhat	1199
redland	1200
release	1201
remote	1202
renderutil	1203
reportuploader	1204
requests	1205
requires	1206
rescue	1207
rest	1208
retrace	1209
rfkill	1210
rhel	1211
rhino	1212
rhtsupport	1213
rng	1214
roller	1215
roman	1216
roms	1217
rootfiles	1218
rpcbind	1219
rpm	1220
rsync	1221
rsyslog	1222
rtkit	1223
rtslib	1224
runtime	1225
rw	1226
salut	1227
samba	1228
sandbox	1229
sane	1230
sans	1231
sasl	1232
satyr	1233
sayura	1234
sbc	1235
scalable	1236
scalar	1237
scanners	1238
schedutils	1239
schemas	1240
scl	1241
scope	1242
scram	1243
screenshot	1244
scripts	1245
scsi	1246
seabios	1247
seahorse	1248
seavgabios	1249
sec	1250
secret	1251
security	1252
sed	1253
selected	1254
selinux	1255
sendto	1256
sensors	1257
serif	1258
server	1259
service	1260
session	1261
setools	1262
setroubleshoot	1263
setserial	1264
settings	1265
setup	1266
setuptool	1267
setuptools	1268
sg3	1269
sgabios	1270
sgpio	1271
shadow	1272
shared	1273
shell	1274
shim	1275
sil	1276
sim	1277
simple	1278
six	1279
size	1280
skkdic	1281
slang	1282
slip	1283
slt	1284
smartmontools	1285
smb	1286
smbc	1287
smc	1288
snappy	1289
snmp	1290
socket	1291
softokn	1292
software	1293
sos	1294
sound	1295
soundtouch	1296
sox	1297
sp1	1298
spax	1299
speech	1300
speechtools	1301
speex	1302
spi2	1303
spice	1304
sqlalchemy	1305
